Juvenile featuring Soulja Slim,Slow Motion,247
K-Ci & JoJo,All My Life,331
K-Ci & JoJo,Crazy,217
K-Ci & JoJo,Tell Me It's Real,224
Kandi,Don't Think I'm Not,229
Kanye West,Can't Tell Me Nothing,270
Kanye West,Heartless,208
Kanye West featuring Dwele,Flashing Lights,237
Kardinal Offishall featuring Akon,Dangerous,231
Karmin,Brokenhearted,225
Karmin,Hello,235
Katharine McPhee,Had It All,184
Katy Perry,Rise,196
Katy Perry,This Is How We Do,201
Katy Perry,Unconditionally,227
Katy Perry,Roar,222
Katy Perry,Part of Me,212
Katy Perry,Wide Awake,219
Katy Perry,Hot n Cold,219
Katy Perry,Teenage Dream,227
Katy Perry,Last Friday Night (T.G.I.F.),230
Katy Perry,Waking Up in Vegas,197
Katy Perry,Firework,225
Katy Perry,The One That Got Away,226
Katy Perry,Thinking of You,236
Katy Perry,Birthday,212
Katy Perry featuring Juicy J,Dark Horse,212
Katy Perry featuring Kanye West,E.T.,228
Katy Perry featuring Snoop Dogg,California Gurls,232
Kaya Stewart,Sleepover,190
Ke$ha,Take It Off,211
Keith Anderson,I Still Miss You,235
Keith Urban,Days Go By,224
Keith Urban,Everybody,235
Keith Urban,Somebody Like You,222
Keith Urban,You'll Think of Me,292
Keith Urban,You're My Better Half,237
Keith Urban,Only You Can Love Me This Way,247
Keith Urban,I Told You So,238
Keith Urban,Making Memories of Us,249
Keith Urban,Sweet Thing,231
Keith Urban,Tonight I Wanna Cry,258
Kelis featuring Too Short,Bossy,272
Kelly Clarkson,Because of You,219
Kelly Clarkson,Heartbeat Song,197
Kelly Clarkson,Stronger (What Doesn't Kill You),219
Kelly Clarkson,Dark Side,222
Kelly Clarkson,My Life Would Suck Without You,211
Kelly Clarkson,Catch My Breath,247
Kelly Clarkson,Behind These Hazel Eyes,195
Kelly Clarkson,Mr. Know It All,229
Kelly Clarkson,Already Gone,277
Kelly Clarkson,Never Again,214
Kelly Clarkson,Piece by Piece (Idol version),210
Kelly Clarkson,Walk Away,186
Kelly Rowland,Stole,248
Kenny Chesney,Summertime,205
Kent Jones,Don't Mind,195
Keri Hilson featuring Kanye West and Ne-Yo,Knock You Down,250
Kesha,Tik Tok,198
Kesha,C'Mon,212
Kesha,Die Young,211
Kesha,Your Love Is My Drug,185
Kesha,Blow,218
Kesha,We R Who We R,204
Kesha featuring Juicy J,Crazy Kids (Remix),229
Kevin Rudolf featuring Lil Wayne,Let It Rock,230
Kid Cudi,Day 'n' Nite,220
Kid Ink featuring Chris Brown,Show Me,216
Kiesza,Hideaway,251
Kodaline,All I Want,228
Kongos,Come with Me Now,210
Krewella,Alive,206
Kris Allen,Live Like We're Dying,208
KT Tunstall,Suddenly I See,198
KT Tunstall,Black Horse and the Cherry Tree,170
Kungs and Cookin' on 3 Burners,This Girl,193
Kylie Minogue,Love at First Sight,236
Kylie Minogue,Can't Get You Out of My Head,229
La Roux,Bulletproof,205
Labrinth featuring Busta Rhymes,Earthquake,259
Labrinth featuring Emeli Sandé,Beneath Your Beautiful,270
Lady Antebellum,Need You Now,232
Lady Antebellum,I Run to You,253
Lady Antebellum,American Honey,221
Lady Antebellum,Just a Kiss,214
Lady Gaga,Bad Romance,258
Lady Gaga,Applause,210
Lady Gaga,Poker Face,236
Lady Gaga,Born This Way,259
Lady Gaga,Yoü and I,245
Lady Gaga,The Edge of Glory,259
Lady Gaga,LoveGame,215
Lady Gaga,Marry the Night,241
Lady Gaga,Alejandro,271
Lady Gaga featuring Colby O'Donis,Just Dance,239
Lady Gaga featuring R. Kelly,Do What U Want,225
Lana Del Rey,Summertime Sadness (Cedric Gervais Remix Edit),213
LANY,ILYSB,208
Lenny Kravitz,Dig In,214
Lenny Kravitz,I Belong to You,255
Lenny Kravitz,Stillness of Heart,254
Lenny Kravitz,Fly Away,221
Lenny Kravitz,Again,226
Lenny Kravitz,Lady,220
Lenny Kravitz,Where Are We Runnin'?,153
Lenny Kravitz,American Woman,231
Leona Lewis,Bleeding Love,237
Leona Lewis,Better in Time,233
Lifehouse,Whatever It Takes,204
Lifehouse,Halfway Gone,193
Lifehouse,First Time,201
Lifehouse,Hanging by a Moment,215
Lifehouse,You and Me,207
Lil Playy featuring Matthew Koma,Birthday Dress,203
Lil Wayne featuring Static Major,Lollipop,247
Lil Wayne featuring T-Pain,Got Money,244
Lil' Flip featuring Lea,Sunshine,220
Lilly Wood and the Prick and Robin Schulz,Prayer in C (Robin Schulz Radio Edit),188
Lily Allen,Smile,194
Limp Bizkit,Nookie,268
Lindsay Lohan,Rumors,188
Lisa Marie Presley,Lights Out,217
Little Big Town,Pontoon,221
Little Big Town,Girl Crush,193
Liz Phair,Why Can't I?,207
